Jobs
JOB_ID        STATUS     PREPARE_KIND  IMAGE_ID     PLAN_ONLY  CREATED                       STARTED                       FINISHED
725c61dc3a6f  failed     psql          postgres:17  false      2026-01-19T12:18:30.1260832Z  2026-01-19T12:18:30.1333437Z  2026-01-19T12:18:30.4820302Z
d2f6f0d78b58  failed     psql          postgres:17  false      2026-01-19T12:23:23.219852Z                                 2026-01-19T12:23:24.5968137Z
46fe0950c272  failed     psql          postgres:17  false      2026-01-19T12:23:32.8968453Z                                2026-01-19T12:23:33.9680365Z
315aa4b7a318  failed     psql          postgres:17  false      2026-01-19T15:23:25.5025787Z  2026-01-19T15:23:25.5090714Z  2026-01-19T15:23:25.8217581Z
b7ede6b12608  succeeded  psql          postgres:17  true       2026-01-19T15:24:27.1315943Z  2026-01-19T15:24:27.1392656Z  2026-01-19T15:24:27.1800195Z
c285b69e6443  succeeded  psql          postgres:17  true       2026-01-19T15:41:01.2309662Z  2026-01-19T15:41:01.2452791Z  2026-01-19T15:41:01.3035713Z
f8ea06a2319f  failed     psql          postgres:17  false      2026-01-19T15:41:03.8919625Z  2026-01-19T15:41:03.9006886Z  2026-01-19T15:41:05.0871283Z
fd43e6a233ce  failed     psql          postgres:17  false      2026-01-19T15:41:48.0903344Z  2026-01-19T15:41:48.1029604Z  2026-01-19T15:41:57.7723963Z
eeb5e59e09fb  failed     psql          postgres:17  false      2026-01-19T15:42:14.235062Z   2026-01-19T15:42:14.2452327Z  2026-01-19T15:42:14.5221375Z
111808b79019  failed     psql          postgres:17  false      2026-01-19T16:56:41.2099066Z  2026-01-19T16:56:41.2717937Z  2026-01-19T16:56:53.3510981Z
ed30dfdc8430  failed     psql          postgres:17  false      2026-01-19T16:58:03.4056757Z  2026-01-19T16:58:03.4185Z     2026-01-19T16:58:03.8141426Z
655f3695c0cc  failed     psql          postgres:17  false      2026-01-19T16:59:29.7587842Z  2026-01-19T16:59:29.794357Z   2026-01-19T16:59:30.5045481Z
d0afec610171  failed     psql          postgres:17  false      2026-01-19T16:59:33.0199931Z  2026-01-19T16:59:33.0471888Z  2026-01-19T16:59:33.4789097Z
cc9248efa633  failed     psql          postgres:17  false      2026-01-19T17:09:43.288126Z   2026-01-19T17:09:43.3037707Z  2026-01-19T17:09:44.4763778Z
03128b3c6f72  failed     psql          postgres:17  false      2026-01-19T17:19:25.5584599Z  2026-01-19T17:19:25.5741524Z  2026-01-19T17:19:26.3647402Z
42ab9db0dad6  failed     psql          postgres:17  false      2026-01-20T02:30:42.8809586Z  2026-01-20T02:30:42.8929846Z  2026-01-20T02:31:38.9800866Z
25ebe05d815e  failed     psql          postgres:17  false      2026-01-20T02:51:53.5760726Z  2026-01-20T02:51:53.5824762Z  2026-01-20T02:52:08.2701937Z
1680f86b4b80  failed     psql          postgres:17  false      2026-01-20T07:14:11.6824531Z  2026-01-20T07:14:11.6930657Z  2026-01-20T07:14:35.1376484Z
c539a2166e33  failed     psql          postgres:17  false      2026-01-20T07:20:04.9341189Z  2026-01-20T07:20:04.9688514Z  2026-01-20T07:20:26.3180493Z
75e2b8c82051  failed     psql          postgres:17  false      2026-01-20T07:22:18.0066366Z  2026-01-20T07:22:18.0130742Z  2026-01-20T07:22:26.7149122Z
eb9f8747c3ae  failed     psql          postgres:17  false      2026-01-20T08:27:24.7639594Z  2026-01-20T08:27:24.9782932Z  2026-01-20T08:28:31.926411Z
4d0633e2448a  failed     psql          postgres:17  false      2026-01-20T14:30:46.6763544Z  2026-01-20T14:30:46.6848981Z  2026-01-20T14:30:57.6485561Z
73339ad5d67c  succeeded  psql          postgres:17  false      2026-01-20T14:40:27.2053315Z  2026-01-20T14:40:27.2144634Z  2026-01-20T14:40:53.0888498Z
c276a91514a6  succeeded  psql          postgres:17  false      2026-01-20T14:45:35.1148663Z  2026-01-20T14:45:35.1260747Z  2026-01-20T14:45:49.2601013Z
1f77ee501bde  succeeded  psql          postgres:17  false      2026-01-20T16:07:31.1017569Z  2026-01-20T16:07:31.1129718Z  2026-01-20T16:07:51.5514967Z
a6db738b1981  succeeded  psql          postgres:17  false      2026-01-20T16:08:03.2615945Z  2026-01-20T16:08:03.2691765Z  2026-01-20T16:08:13.004027Z
363fb1019859  failed     psql          postgres:17  false      2026-01-21T07:18:51.3668663Z  2026-01-21T07:18:51.396493Z   2026-01-21T07:19:08.0988002Z
1a7db13231a5  failed     psql          postgres:17  false      2026-01-21T07:52:05.5696137Z  2026-01-21T07:52:05.5793215Z  2026-01-21T07:52:44.3215319Z
72d1f874bfe9  failed     psql          postgres:17  false      2026-01-21T08:25:25.6604951Z  2026-01-21T08:25:25.6715301Z  2026-01-21T08:25:50.0262321Z
f726bce52310  failed     psql          postgres:17  false      2026-01-21T09:50:39.6231502Z  2026-01-21T09:50:39.6531667Z  2026-01-21T09:51:07.288481Z
ba42b5095838  failed     psql          postgres:17  false      2026-01-21T10:08:00.3448542Z  2026-01-21T10:08:00.3642002Z  2026-01-21T10:08:18.2666674Z
b010c03d1538  failed     psql          postgres:17  false      2026-01-21T10:08:45.4022047Z  2026-01-21T10:08:45.4297067Z  2026-01-21T10:09:00.4258506Z
2488081d9c74  succeeded  psql          postgres:17  false      2026-01-21T10:10:58.0794908Z  2026-01-21T10:10:58.0995637Z  2026-01-21T10:11:32.0640336Z
5d7358476825  succeeded  psql          postgres:17  false      2026-01-21T10:12:18.4303606Z  2026-01-21T10:12:18.4422819Z  2026-01-21T10:12:36.1212885Z
8d650feb5aa4  failed     psql          postgres:17  false      2026-01-21T16:03:49.2516169Z  2026-01-21T16:03:49.2614611Z  2026-01-21T16:03:49.5369325Z
